Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Job, std::allocator<Job> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<Job>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<Job>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::string* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Job, std::allocator<Job> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Job, std::allocator<Job> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Job, std::allocator<Job> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Job, std::allocator<Job> >::_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Job, std::allocator<Job> >::~_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::string* std::__copy_move_backward<false, false, std::random_access_iterator_tag>::__copy_move_b<std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Job, std::allocator<Job> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > >, Job const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Job, std::allocator<Job> >::erase(__gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > >)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Job, std::allocator<Job> >::push_back(Job const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Job, std::allocator<Job> >::vector()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Job, std::allocator<Job> >::~vector()
  0.00      0.00     0.00        1     0.00     0.00  std::string* std::vector<std::string, std::allocator<std::string> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > >(unsigned int, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        1     0.00     0.00  std::string* std::__copy_move_a<false, std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.00      0.00     0.00        1     0.00     0.00  std::string* std::copy_backward<std::string*, std::string*>(std::string*, std::string*, std::string*)
